sampleID,prob1,prob2,class1,class2
TCGA.A2.A0CZ.BRCA.C3,0.8689004,0.1105165,6,3
TCGA.05.4417.LUAD.C3,0.8998114,0.097454324,6,3
TCGA.BQ.7046.KIRP.C3,0.7238417,0.2760699,4,3
TCGA.OR.A5K1.ACC.C3,0.5570692,0.44257948,4,3
TCGA.86.A456.LUAD.C2,0.8266242,0.10453351,2,4
TCGA.DX.A48J.SARC.C3,0.8818665,0.11564031,3,4
TCGA.E5.A4U1.BLCA.C1,0.51748896,0.4814452,1,4
TCGA.B9.A5W7.KIRP.C3,0.6205551,0.3794345,3,4
TCGA.W5.AA36.CHOL.C4,0.57941085,0.375977,4,3
TCGA.KL.8339.KICH.C4,0.5309184,0.44428986,3,4
TCGA.XD.AAUL.PAAD.C1,0.66660917,0.33317682,6,1
TCGA.AR.A24M.BRCA.C6,0.77230877,0.21309629,3,1
TCGA.J2.8192.LUAD.C3,0.8970124,0.102133825,6,3
TCGA.IB.7651.PAAD.C2,0.7747545,0.2239065,6,2
TCGA.LK.A4NW.MESO.C2,0.817542,0.1810047,1,2
TCGA.SY.A9G0.BLCA.C3,0.7144169,0.28539535,1,3
TCGA.VQ.A925.STAD.C1,0.907875,0.09207948,1,2
TCGA.V4.A9F0.UVM.C3,0.7614466,0.23853143,3,4
TCGA.AA.3862.COAD.C2,0.5745802,0.42534187,1,2
TCGA.KK.A7B4.PRAD.C1,0.7234262,0.27214268,1,3
TCGA.DK.AA76.BLCA.C4,0.83083814,0.16798091,1,4
TCGA.BH.A0H7.BRCA.C2,0.7919589,0.2080218,1,2
TCGA.S7.A7WN.PCPG.C3,0.74080396,0.25917187,4,3
TCGA.AM.5820.COAD.C4,0.8264974,0.17349772,1,4
TCGA.O8.A75V.LIHC.C3,0.6159342,0.3709557,2,3
TCGA.MJ.A68J.SARC.C3,0.77946603,0.21770522,3,6
TCGA.AA.3713.COAD.C1,0.88083136,0.11914957,1,2
TCGA.VW.A7QS.LGG.C4,0.5543551,0.44436982,5,4
TCGA.TP.A8TV.PRAD.C3,0.8815575,0.11821398,4,3
TCGA.A2.A1FW.BRCA.C4,0.9141878,0.05825074,2,4
TCGA.CV.A45Y.HNSC.C2,0.89418674,0.10563339,2,1
TCGA.KM.8441.KICH.C3,0.8880666,0.111691184,3,4
TCGA.75.6207.LUAD.C2,0.82444847,0.14033954,4,2
TCGA.CS.6666.LGG.C4,0.8415472,0.15843382,4,5
TCGA.J7.6720.KIRP.C3,0.900357,0.09904593,3,4
TCGA.GD.A3OP.BLCA.C3,0.88665366,0.11274751,3,1
TCGA.A2.A259.BRCA.C1,0.915969,0.08282968,3,1
TCGA.AR.A24T.BRCA.C6,0.8007712,0.18007639,1,6
TCGA.62.A46Y.LUAD.C2,0.6992585,0.25801685,2,3
TCGA.A2.A3XS.BRCA.C2,0.69390845,0.3060779,2,1
TCGA.N8.A4PI.UCS.C4,0.5995816,0.40041792,4,1
TCGA.B0.4712.KIRC.C2,0.73706144,0.2204223,2,6
TCGA.DX.A48R.SARC.C4,0.9039438,0.09583621,4,2
TCGA.CZ.4866.KIRC.C3,0.5469533,0.45300755,4,3
TCGA.DX.A6BF.SARC.C4,0.58487517,0.4129853,4,6
TCGA.X6.A7WA.SARC.C3,0.7478995,0.19409838,4,6
TCGA.D8.A1JA.BRCA.C4,0.6565104,0.34327686,4,2
TCGA.A8.A06Q.BRCA.C4,0.84736556,0.14680965,4,1
TCGA.61.2012.OV.C2,0.9169858,0.08283549,2,1
TCGA.BR.8289.STAD.C1,0.8705115,0.12943262,1,2
TCGA.MQ.A4LJ.MESO.C1,0.68735135,0.31134975,1,3
TCGA.99.8033.LUAD.C1,0.8370178,0.16295996,2,1
TCGA.56.7822.LUSC.C1,0.5615713,0.43316308,2,1
TCGA.33.4582.LUSC.C2,0.52415985,0.4757898,1,2
TCGA.A2.A0T1.BRCA.C1,0.88097954,0.11250843,2,6
TCGA.CC.A9FU.LIHC.C1,0.8461575,0.15041636,1,4
TCGA.VQ.A92D.STAD.C2,0.8389982,0.15807518,2,1
TCGA.DX.AB3B.SARC.C3,0.5529037,0.44616842,3,1
TCGA.BF.A3DJ.SKCM.C4,0.88101816,0.09727775,4,2
TCGA.EB.A3XC.SKCM.C1,0.8511162,0.14777724,1,2
TCGA.OL.A97C.BRCA.C1,0.8225946,0.17603105,3,1
TCGA.BH.A8G0.BRCA.C3,0.9191114,0.08088627,3,6
TCGA.FD.A3SO.BLCA.C1,0.91013205,0.08979006,1,2
TCGA.A2.A0CK.BRCA.C1,0.77835715,0.22125211,3,1
TCGA.AC.A2QH.BRCA.C4,0.6672116,0.33278695,1,4
TCGA.AA.3534.COAD.C1,0.9119779,0.08306049,3,1
TCGA.W5.AA2Z.CHOL.C6,0.7276719,0.22781676,3,4
TCGA.3A.A9IH.PAAD.C2,0.8578073,0.08540619,2,6
TCGA.AP.A05H.UCEC.C2,0.7324504,0.25628814,2,1
TCGA.BR.8364.STAD.C3,0.6431808,0.3542807,3,6
TCGA.BH.A0HK.BRCA.C1,0.5610485,0.4387449,3,1
TCGA.FE.A231.THCA.C3,0.9050168,0.09462378,3,4
TCGA.VR.A8Q7.ESCA.C1,0.9189764,0.08096494,1,2
TCGA.2F.A9KW.BLCA.C4,0.8265163,0.10563143,4,2
TCGA.YG.AA3N.SKCM.C3,0.8724386,0.06633909,2,6
TCGA.G4.6306.COAD.C1,0.88682246,0.087251954,1,4
TCGA.2Y.A9H2.LIHC.C3,0.6758635,0.3237937,4,3
TCGA.G9.6377.PRAD.C1,0.66386795,0.3290567,3,1
TCGA.IN.7806.STAD.C3,0.88837874,0.10092571,1,3
TCGA.86.A4D0.LUAD.C2,0.7812325,0.21809845,1,2
TCGA.FR.A726.SKCM.C4,0.5760657,0.423932,1,4
TCGA.QR.A70V.PCPG.C5,0.8823386,0.10496922,4,5
TCGA.5S.A9Q8.UCEC.C3,0.54513013,0.38226387,3,1
TCGA.AN.A0FV.BRCA.C4,0.5140943,0.48566335,1,4
TCGA.DX.A3UF.SARC.C1,0.6417041,0.32172793,1,4
TCGA.OY.A56Q.OV.C4,0.71714413,0.28167245,4,1
TCGA.FX.A2QS.SARC.C6,0.65393573,0.30745018,1,4
TCGA.AO.A0JC.BRCA.C2,0.6211944,0.37842712,2,3
TCGA.A5.A0GW.UCEC.C1,0.670485,0.32951418,2,1
TCGA.HT.7693.LGG.C5,0.9123993,0.08759132,5,4
TCGA.UD.AAC6.MESO.C4,0.6271904,0.32411164,1,4
TCGA.CC.A9FS.LIHC.C3,0.6603532,0.33940548,4,3
TCGA.55.8511.LUAD.C3,0.8703013,0.07748855,1,3
TCGA.A8.A09W.BRCA.C2,0.81638163,0.17516972,2,1
TCGA.AN.A0FS.BRCA.C1,0.8075181,0.19223401,3,1
TCGA.GF.A769.SKCM.C4,0.9084647,0.091532774,4,1
TCGA.ZG.A9MC.PRAD.C2,0.65129286,0.34638402,2,3
TCGA.DD.A4NO.LIHC.C3,0.6087789,0.39119712,3,4
TCGA.RD.A8N5.STAD.C6,0.60071373,0.39029,1,4
TCGA.25.1322.OV.C4,0.51663065,0.48336923,4,2
TCGA.B5.A0JZ.UCEC.C2,0.8707192,0.1291384,2,1
TCGA.ZF.AA4V.BLCA.C2,0.9047715,0.09520542,2,1
TCGA.06.2569.GBM.C1,0.8534905,0.14641064,1,4
TCGA.DX.A23Z.SARC.C3,0.9017698,0.09684438,6,3
TCGA.F4.6703.COAD.C1,0.8595325,0.12843238,2,1
TCGA.CR.7371.HNSC.C1,0.8003618,0.19958203,2,1
TCGA.W4.A7U3.TGCT.C1,0.85763466,0.14207056,2,1
TCGA.MP.A4T8.LUAD.C2,0.85535085,0.14452745,2,1
TCGA.OR.A5JK.ACC.C3,0.5529762,0.42707688,4,3
TCGA.MP.A4SY.LUAD.C1,0.77362424,0.22387859,1,6
TCGA.SC.AA5Z.MESO.C6,0.63644826,0.34418127,6,3
TCGA.LQ.A4E4.BRCA.C1,0.506308,0.48638433,1,4
TCGA.DD.A115.LIHC.C3,0.5337317,0.453357,4,3
TCGA.EJ.8472.PRAD.C3,0.8146874,0.12686467,3,4
TCGA.TS.A8AV.MESO.C2,0.7622507,0.22977006,2,6
TCGA.ZN.A9VP.MESO.C6,0.87527376,0.108141474,3,1
TCGA.RC.A6M3.LIHC.C1,0.9141476,0.08581918,1,4
TCGA.FD.A6TA.BLCA.C1,0.8276597,0.17223741,1,2
TCGA.L5.A8NV.ESCA.C2,0.69073313,0.30480707,1,2
TCGA.KD.A5QS.SARC.C4,0.65696496,0.3429211,4,1
TCGA.BQ.7060.KIRP.C3,0.79849035,0.20125881,4,3
TCGA.CV.7411.HNSC.C2,0.6478054,0.34610116,2,1
TCGA.EB.A3XD.SKCM.C3,0.8972063,0.10150508,6,3
TCGA.A2.A3XV.BRCA.C1,0.86978513,0.12958251,1,4
TCGA.2Z.A9J3.KIRP.C3,0.90401244,0.09468269,4,3
TCGA.G4.6586.COAD.C2,0.56974906,0.42913055,1,2
TCGA.DJ.A3UO.THCA.C4,0.7395093,0.25812924,3,4
TCGA.BP.4343.KIRC.C3,0.73523855,0.26320556,6,3
TCGA.EB.A51B.SKCM.C2,0.8864873,0.10830379,4,2
TCGA.D8.A1XR.BRCA.C3,0.849453,0.12000885,1,4
TCGA.F9.A97G.KIRP.C3,0.8994313,0.10038052,3,4
TCGA.KO.8405.KICH.C3,0.63369465,0.36548904,3,4
TCGA.BG.A0MG.UCEC.C1,0.5704009,0.428428,1,4
TCGA.DD.AADF.LIHC.C4,0.89386076,0.06502233,4,3
TCGA.24.1844.OV.C4,0.90281427,0.09701901,4,1
TCGA.CG.4449.STAD.C1,0.73948765,0.24678734,2,4
TCGA.HC.7080.PRAD.C3,0.83097935,0.16897143,3,4
TCGA.AA.3841.COAD.C1,0.81776005,0.18137315,1,3
TCGA.BC.A8YO.LIHC.C4,0.76908743,0.228661,2,4
TCGA.66.2795.LUSC.C1,0.9037857,0.09591605,1,2
TCGA.56.A4BW.LUSC.C2,0.57416904,0.4258237,1,2
TCGA.VN.A88K.PRAD.C1,0.917107,0.06692068,3,4
TCGA.CM.4750.COAD.C2,0.78515905,0.2148405,1,2
TCGA.22.1012.LUSC.C1,0.8381074,0.1618922,2,1
TCGA.BC.A69H.LIHC.C4,0.7583019,0.19529215,1,4
TCGA.56.A4BX.LUSC.C1,0.8839176,0.11479512,1,4
TCGA.BQ.5889.KIRP.C3,0.75957805,0.23986062,3,6
TCGA.L5.A4OP.ESCA.C1,0.53226954,0.4338166,3,1
TCGA.A2.A0CO.BRCA.C2,0.83840746,0.11258666,6,3
TCGA.DX.A6BE.SARC.C3,0.62502074,0.37485835,3,6
TCGA.67.3773.LUAD.C3,0.8594651,0.13459234,3,2
TCGA.CJ.5681.KIRC.C4,0.7025377,0.29745388,3,4
TCGA.DX.A3UA.SARC.C1,0.56732076,0.43175396,1,4
TCGA.DU.A7TA.LGG.C5,0.6382985,0.3616966,4,5
TCGA.UZ.A9PO.KIRP.C3,0.9196478,0.080342606,3,4
TCGA.VS.A8QH.CESC.C1,0.89192563,0.10749972,1,4
TCGA.WQ.A9G7.LIHC.C1,0.891644,0.104085445,4,1
TCGA.22.1005.LUSC.C6,0.89827603,0.09073008,2,3
TCGA.BH.A18S.BRCA.C3,0.8183199,0.18126842,3,4
TCGA.WK.A8XT.SARC.C3,0.8944316,0.10080465,1,4
TCGA.IA.A40U.KIRP.C3,0.68180966,0.3181475,3,4
TCGA.E9.A22E.BRCA.C2,0.5155444,0.42694077,1,2
TCGA.EB.A4OZ.SKCM.C2,0.8631949,0.10395107,2,6
TCGA.A7.A4SB.BRCA.C3,0.70318836,0.2964833,1,3
TCGA.E9.A227.BRCA.C1,0.76070994,0.17554848,3,1
TCGA.AO.A0J9.BRCA.C1,0.86426014,0.0918943,1,6
TCGA.BR.8380.STAD.C1,0.62789357,0.371971,3,1
TCGA.EA.A97N.CESC.C2,0.918385,0.081613146,2,1
TCGA.GV.A3QI.BLCA.C4,0.59851384,0.39951843,4,1
TCGA.ET.A4KN.THCA.C3,0.87537605,0.0656001,3,2
TCGA.BP.4763.KIRC.C2,0.9019905,0.08284723,3,4
TCGA.AP.A05J.UCEC.C4,0.879864,0.10675218,1,4
TCGA.CV.6939.HNSC.C1,0.688101,0.3117725,2,1
TCGA.5P.A9KE.KIRP.C3,0.53842527,0.46156225,4,3
TCGA.KC.A7FD.PRAD.C1,0.66573775,0.30459216,4,1
TCGA.AG.3728.READ.C3,0.78844744,0.20802319,3,1
TCGA.D1.A17D.UCEC.C3,0.62357026,0.37619883,3,1
TCGA.OL.A66K.BRCA.C3,0.9111903,0.088394284,3,1
TCGA.B1.A656.KIRP.C3,0.8160126,0.1813957,3,6
TCGA.EY.A54A.UCEC.C1,0.86365604,0.10928171,1,2
TCGA.97.8179.LUAD.C3,0.9052342,0.0926828,3,4
TCGA.PZ.A5RE.PAAD.C1,0.5090047,0.4227451,2,6
TCGA.AA.3872.COAD.C1,0.7247798,0.2751443,1,2
TCGA.YH.A8SY.PAAD.C2,0.5595529,0.43979025,2,1
TCGA.DX.A48L.SARC.C2,0.7761354,0.22287852,4,2
TCGA.AC.A62V.BRCA.C1,0.7620106,0.23796032,1,4
TCGA.BA.A8YP.HNSC.C1,0.8556919,0.14424971,1,2
TCGA.BH.A0B4.BRCA.C1,0.8120216,0.18444824,1,2
TCGA.2Y.A9H1.LIHC.C4,0.768062,0.22388706,3,4
TCGA.C8.A1HL.BRCA.C1,0.5094304,0.49048465,4,1
TCGA.A4.7288.KIRP.C3,0.6349498,0.35724378,3,4
TCGA.2Z.A9JO.KIRP.C4,0.65314984,0.3465451,4,3
TCGA.P3.A5QA.HNSC.C2,0.580152,0.41984427,1,2
TCGA.AO.A03V.BRCA.C1,0.71652335,0.2734659,3,1
TCGA.DX.A3LS.SARC.C6,0.8564052,0.1328549,6,3
TCGA.CK.5916.COAD.C2,0.9074515,0.0923159,2,1
TCGA.SR.A6MX.PCPG.C3,0.78391606,0.18180788,4,3
TCGA.O2.A52S.LUSC.C1,0.57524556,0.42456558,2,1
TCGA.DX.A8BV.SARC.C4,0.5861945,0.3692203,4,1
TCGA.75.5146.LUAD.C2,0.5300509,0.4507511,2,3
TCGA.56.8304.LUSC.C1,0.7479656,0.2520333,2,1
TCGA.AC.A3HN.BRCA.C3,0.8871181,0.100159965,6,3
TCGA.DX.A3LW.SARC.C1,0.6616606,0.29610923,1,4
TCGA.AA.3555.COAD.C4,0.87286025,0.08018657,1,4
TCGA.D1.A17H.UCEC.C2,0.8586208,0.13885619,2,1
TCGA.CX.7085.HNSC.C1,0.79866797,0.18751724,2,6
TCGA.CG.4462.STAD.C6,0.7851799,0.21457478,6,3
TCGA.OR.A5JX.ACC.C3,0.7829908,0.21659823,4,3
TCGA.B8.4146.KIRC.C4,0.8428272,0.14774491,4,3
TCGA.55.7815.LUAD.C3,0.90562403,0.056130316,3,4
TCGA.L5.A8NS.ESCA.C1,0.91829526,0.0448895,3,1
TCGA.A8.A086.BRCA.C1,0.81458163,0.18529852,1,4
TCGA.39.5021.LUSC.C1,0.74039817,0.25959468,2,1
TCGA.55.A57B.LUAD.C6,0.6503716,0.34323046,3,6
TCGA.ZF.AA4T.BLCA.C2,0.8288747,0.16765815,2,1
TCGA.CD.8524.STAD.C2,0.8971339,0.102843165,2,1
TCGA.AX.A1C7.UCEC.C2,0.7684344,0.17118709,2,4
TCGA.EJ.5499.PRAD.C1,0.83047694,0.16848853,3,1
TCGA.FD.A5BX.BLCA.C4,0.69232273,0.27680135,1,4
TCGA.BH.A0H5.BRCA.C6,0.69807804,0.30024868,3,2
TCGA.CJ.5678.KIRC.C2,0.9089309,0.086744085,3,2
TCGA.EO.A1Y7.UCEC.C2,0.86894715,0.12588751,1,2
TCGA.D1.A176.UCEC.C3,0.7951343,0.16344483,3,1
TCGA.BG.A0MU.UCEC.C3,0.5224485,0.47379923,1,3
TCGA.CV.6948.HNSC.C1,0.63078475,0.36920694,2,1
TCGA.KN.8433.KICH.C3,0.696916,0.30286115,4,3
TCGA.XF.AAN0.BLCA.C1,0.82574517,0.13414922,1,2
TCGA.KK.A5A1.PRAD.C4,0.8208393,0.16704963,3,1
TCGA.LB.A8F3.PAAD.C1,0.67915356,0.28492346,1,4
TCGA.D6.6826.HNSC.C1,0.8957643,0.09037875,2,1
TCGA.B0.4703.KIRC.C6,0.8395021,0.15938962,3,6
TCGA.97.A4M6.LUAD.C2,0.6784386,0.31683213,2,3
TCGA.QR.A70H.PCPG.C3,0.8126057,0.18722218,4,3
TCGA.BS.A0TE.UCEC.C2,0.8542004,0.14579403,2,1
TCGA.GH.A9DA.CESC.C1,0.82430387,0.17568284,1,2
TCGA.RD.A7BW.STAD.C6,0.56563294,0.41017404,3,6
TCGA.BQ.7051.KIRP.C3,0.5040102,0.49413875,4,3
TCGA.BR.6455.STAD.C1,0.6991018,0.30089113,1,2
TCGA.CU.A3YL.BLCA.C3,0.8890857,0.10977015,3,1
TCGA.CU.A0YN.BLCA.C2,0.5058717,0.49412683,2,1
TCGA.D5.6930.COAD.C1,0.6103361,0.38966373,1,2
TCGA.DX.A3M2.SARC.C2,0.82478833,0.11742498,2,4
TCGA.QR.A6GX.PCPG.C3,0.7601839,0.23696455,3,4
TCGA.RW.A681.PCPG.C4,0.5151817,0.47057706,5,4
TCGA.AO.A12D.BRCA.C2,0.5323999,0.467056,2,6
TCGA.ZG.A9ND.PRAD.C3,0.56436104,0.43369675,3,4
TCGA.A7.A0D9.BRCA.C1,0.78739846,0.20604716,1,3
TCGA.CM.4752.COAD.C2,0.57747716,0.42251873,2,1
TCGA.BR.4201.STAD.C2,0.87990916,0.11375078,1,2
TCGA.24.2038.OV.C4,0.694239,0.24981518,4,3
TCGA.VS.A9UT.CESC.C2,0.84648407,0.14447834,2,3
TCGA.23.2077.OV.C2,0.8842007,0.115781195,2,4
TCGA.DX.AB37.SARC.C2,0.83078665,0.1629247,6,2
TCGA.2G.AAGV.TGCT.C1,0.9033661,0.09615392,1,3
TCGA.EW.A1P0.BRCA.C4,0.6856831,0.3038037,3,1
TCGA.VS.A9V1.CESC.C1,0.8783041,0.12132182,1,2
TCGA.HR.A5NC.SKCM.C4,0.91707504,0.08052163,4,3
TCGA.60.2714.LUSC.C2,0.55933,0.44013423,1,2
TCGA.DX.AB2V.SARC.C3,0.7046315,0.2935241,3,6
TCGA.BK.A13B.UCEC.C1,0.91150177,0.08841683,1,4
TCGA.09.1662.OV.C4,0.83444244,0.15969452,4,1
TCGA.EB.A3Y7.SKCM.C3,0.87308294,0.10930531,4,1
TCGA.KN.8431.KICH.C4,0.6905705,0.29193398,3,5
TCGA.85.7697.LUSC.C1,0.89519995,0.10479812,1,2
TCGA.HZ.8002.PAAD.C3,0.6347892,0.36470354,3,6
TCGA.44.2662.LUAD.C4,0.8998698,0.0646494,6,1
TCGA.HC.7744.PRAD.C3,0.5211663,0.47275987,3,4
TCGA.GD.A3OQ.BLCA.C2,0.6025609,0.39683774,1,2
TCGA.KL.8336.KICH.C3,0.8741241,0.12552509,3,4
TCGA.43.A56U.LUSC.C2,0.8193434,0.10515035,2,3
TCGA.YZ.A982.UVM.C5,0.8559165,0.14368297,4,3
TCGA.ZS.A9CG.LIHC.C3,0.72341156,0.2765677,3,4
TCGA.56.7222.LUSC.C2,0.90812397,0.09176545,2,1
TCGA.DU.7300.LGG.C5,0.5565181,0.44346923,4,5
TCGA.EB.A44O.SKCM.C1,0.7504182,0.2493914,1,4
TCGA.VQ.A8DT.STAD.C2,0.9153678,0.084622,1,2
TCGA.78.7148.LUAD.C1,0.88794506,0.08897886,2,1
TCGA.EM.A2CN.THCA.C3,0.880513,0.11943777,3,4
TCGA.AX.A1CF.UCEC.C2,0.5470836,0.452787,2,1
TCGA.24.1467.OV.C4,0.8303581,0.16594878,2,4
TCGA.VP.A875.PRAD.C4,0.66179866,0.29602295,4,3
TCGA.EL.A3T1.THCA.C2,0.6114739,0.38590685,3,2
TCGA.A8.A07F.BRCA.C3,0.8580944,0.09884004,1,3
TCGA.BA.6871.HNSC.C2,0.76199764,0.23800214,1,2
TCGA.EC.A1QX.UCEC.C1,0.8857975,0.11420072,1,2
TCGA.93.A4JO.LUAD.C3,0.82969046,0.102811135,3,6
TCGA.W5.AA2I.CHOL.C3,0.55494,0.40037706,1,4
TCGA.MH.A854.KIRP.C1,0.57986516,0.40460065,4,3
TCGA.2G.AALN.TGCT.C1,0.7980314,0.20185322,1,2
TCGA.LL.A5YM.BRCA.C1,0.83568454,0.15993126,2,1
TCGA.YL.A8SL.PRAD.C1,0.8956722,0.08560141,1,4
TCGA.AA.3856.COAD.C2,0.6940969,0.30567232,2,1
TCGA.60.2704.LUSC.C6,0.63086224,0.3377072,6,1
TCGA.2Y.A9GU.LIHC.C3,0.66554785,0.33444947,4,3
TCGA.N9.A4PZ.UCS.C2,0.814519,0.18475965,2,1
TCGA.B0.5400.KIRC.C3,0.6821581,0.3161959,6,3
TCGA.B4.5378.KIRC.C4,0.5208465,0.4760108,4,3
TCGA.S9.A6WN.LGG.C4,0.8146612,0.1305753,4,3
